%hm0 hm0a hm0b hmax mdir mdira mdirb tp
1.56 1.17 1.02 2.54 184.22 209.53 148.36 12.50
1.29 0.82 0.98 1.64 170.86 209.53 144.84 13.87
1.33 0.90 0.98 1.84 170.16 202.50 138.52 14.06
1.25 0.86 0.90 1.68 178.59 210.94 146.25 13.48
1.17 0.78 0.90 1.68 171.56 196.17 151.88 12.21
1.25 0.94 0.86 1.88 181.41 208.83 151.88 11.82
1.17 0.82 0.82 1.56 181.41 210.94 156.09 13.48
1.33 1.02 0.86 2.03 191.25 213.75 154.69 11.04
1.09 0.74 0.78 1.56 185.62 220.08 161.02 13.28
1.25 0.94 0.82 1.72 191.95 215.16 154.69 13.67
1.33 1.02 0.82 1.64 189.84 212.34 158.20 12.50
1.17 0.78 0.86 1.48 175.08 213.75 146.25 13.28
1.21 0.82 0.86 1.56 177.89 206.02 149.06 11.04
1.13 0.74 0.86 1.45 168.05 203.20 144.14 11.82
1.02 0.62 0.82 1.29 160.31 206.02 139.92 12.21
1.05 0.70 0.82 1.76 171.56 206.72 151.17 12.21
0.98 0.59 0.78 1.41 159.61 203.91 140.62 13.87
0.98 0.59 0.78 1.45 162.42 200.39 141.33 13.09
1.05 0.70 0.78 1.88 174.38 208.12 142.73 12.30
0.90 0.59 0.70 1.21 165.23 203.91 148.36 13.09
1.09 0.78 0.74 1.64 183.52 202.50 153.98 13.09
1.17 0.82 0.82 1.80 206.72 208.12 201.80 14.06
1.13 0.74 0.86 1.60 215.16 213.05 219.38 12.60
1.17 0.90 0.78 1.95 205.31 205.31 203.20 12.99
1.05 0.70 0.78 1.37 202.50 212.34 181.41 12.30
1.05 0.86 0.66 1.72 195.47 202.50 179.30 13.09
0.94 0.59 0.74 1.37 182.11 198.28 168.05 12.50
1.02 0.78 0.66 1.52 189.14 200.39 165.94 14.45
1.05 0.78 0.70 1.45 187.03 201.80 165.23 14.06
1.02 0.70 0.74 1.76 180.70 203.20 163.83 13.87
1.05 0.78 0.74 1.56 187.73 207.42 162.42 12.21
1.09 0.74 0.78 1.84 175.08 201.09 157.50 12.21
0.94 0.59 0.70 1.17 184.22 208.83 163.83 12.79
1.02 0.74 0.70 1.41 180.00 204.61 151.17 13.28
0.90 0.66 0.62 1.13 180.00 199.69 162.42 13.87
1.02 0.74 0.70 1.41 183.52 204.61 161.02 14.06
0.86 0.62 0.62 1.33 182.81 203.91 161.72 12.60
0.86 0.59 0.66 1.13 180.70 208.12 159.61 12.60
0.90 0.59 0.66 1.33 182.81 206.72 161.72 12.60
0.94 0.62 0.70 1.52 183.52 210.23 163.83 12.21
0.86 0.55 0.66 1.13 181.41 206.72 164.53 11.82
